Generation,Animal count,Bush count,Average energy,Average life span for dead animals,Average number of children per animal
377,23,33,41.56521739130435,201.375,1.608695652173913
378,23,33,41.47826086956522,201.375,1.608695652173913
379,23,33,40.91304347826087,201.375,1.608695652173913
380,23,32,40.869565217391305,201.375,1.608695652173913
381,23,32,40.34782608695652,201.375,1.608695652173913
382,23,30,40.65217391304348,201.375,1.608695652173913
383,23,31,40.130434782608695,201.375,1.608695652173913
384,23,30,40.0,201.375,1.608695652173913
385,23,32,39.04347826086956,201.375,1.608695652173913
386,23,32,38.91304347826087,201.375,1.608695652173913
387,23,30,39.69565217391305,201.375,1.608695652173913
388,23,30,39.65217391304348,201.375,1.608695652173913
389,23,32,38.78260869565217,184.11111111111111,1.6956521739130435
390,22,32,40.09090909090909,189.2,1.7727272727272727
391,22,34,39.13636363636363,189.2,1.7727272727272727
392,22,32,39.95454545454545,189.2,1.7727272727272727
393,22,31,40.31818181818182,189.2,1.7727272727272727
394,22,32,39.81818181818182,189.2,1.7727272727272727
395,21,32,41.714285714285715,175.63636363636363,1.8571428571428572
396,21,33,41.19047619047619,175.63636363636363,1.8571428571428572
397,21,34,40.714285714285715,175.63636363636363,1.8571428571428572
398,21,34,40.714285714285715,175.63636363636363,1.8571428571428572
399,21,33,41.142857142857146,175.63636363636363,1.8571428571428572
400,21,34,40.666666666666664,175.63636363636363,1.8571428571428572
401,21,32,41.666666666666664,175.63636363636363,1.8571428571428572
402,21,32,41.666666666666664,175.63636363636363,1.8571428571428572
403,21,31,42.142857142857146,175.63636363636363,1.8571428571428572
404,21,32,41.61904761904762,175.63636363636363,1.8571428571428572
405,21,33,41.142857142857146,175.63636363636363,1.8571428571428572
406,21,29,42.523809523809526,175.63636363636363,1.8571428571428572
407,21,30,42.04761904761905,175.63636363636363,1.8571428571428572
408,21,30,42.04761904761905,175.63636363636363,1.8571428571428572
409,21,30,41.57142857142857,175.63636363636363,1.8571428571428572
410,21,31,40.61904761904762,175.63636363636363,1.8571428571428572
411,21,32,40.095238095238095,175.63636363636363,1.8571428571428572
412,21,33,39.57142857142857,175.63636363636363,1.8571428571428572
413,21,33,39.61904761904762,175.63636363636363,1.8571428571428572
414,21,32,40.04761904761905,175.63636363636363,1.8571428571428572
415,20,32,42.1,168.16666666666666,1.9
416,20,33,41.75,168.16666666666666,1.9
417,20,30,42.9,168.16666666666666,1.9
418,20,29,42.95,168.16666666666666,1.9
419,19,30,44.73684210526316,187.07692307692307,1.8421052631578947
420,20,32,41.6,187.07692307692307,1.85
421,21,31,40.142857142857146,187.07692307692307,1.8571428571428572
422,21,31,39.61904761904762,187.07692307692307,1.8571428571428572
423,21,32,39.19047619047619,187.07692307692307,1.8571428571428572
424,21,32,39.142857142857146,187.07692307692307,1.8571428571428572
425,21,33,38.666666666666664,187.07692307692307,1.8571428571428572
426,21,35,37.76190476190476,187.07692307692307,1.8571428571428572
427,22,37,35.09090909090909,187.07692307692307,1.8636363636363635
428,21,34,37.714285714285715,180.28571428571428,1.9047619047619047
429,21,32,38.19047619047619,180.28571428571428,1.9047619047619047
430,20,33,39.1,195.33333333333334,2.0
431,20,33,39.15,195.33333333333334,2.0
432,20,33,39.25,195.33333333333334,2.0
433,20,32,39.75,195.33333333333334,2.0
434,20,32,39.3,195.33333333333334,2.0
435,20,33,38.85,195.33333333333334,2.0
436,20,34,37.85,195.33333333333334,2.0
437,20,33,38.4,195.33333333333334,2.0
438,19,35,39.526315789473685,199.6875,2.0
439,19,37,38.578947368421055,199.6875,2.0
440,19,38,37.63157894736842,199.6875,2.0
441,19,35,38.73684210526316,199.6875,2.0
442,19,33,39.89473684210526,199.6875,2.0
443,19,32,40.473684210526315,199.6875,2.0
444,19,32,40.526315789473685,199.6875,2.0
445,18,33,42.333333333333336,195.76470588235293,2.111111111111111
446,18,35,41.333333333333336,195.76470588235293,2.111111111111111
447,18,36,40.94444444444444,195.76470588235293,2.111111111111111
448,18,36,40.55555555555556,195.76470588235293,2.111111111111111
449,19,37,37.578947368421055,195.76470588235293,2.1052631578947367
450,19,38,36.578947368421055,195.76470588235293,2.1052631578947367
451,19,38,36.63157894736842,195.76470588235293,2.1052631578947367
452,19,39,35.63157894736842,195.76470588235293,2.1052631578947367
453,19,39,35.68421052631579,195.76470588235293,2.1052631578947367
454,19,37,36.26315789473684,195.76470588235293,2.1052631578947367
455,19,35,37.36842105263158,195.76470588235293,2.1052631578947367
456,19,35,37.421052631578945,195.76470588235293,2.1052631578947367
457,19,35,37.526315789473685,195.76470588235293,2.1052631578947367
458,19,36,37.05263157894737,195.76470588235293,2.1052631578947367
459,19,35,37.1578947368421,195.76470588235293,2.1052631578947367
460,19,34,37.26315789473684,195.76470588235293,2.1052631578947367
461,19,35,36.8421052631579,195.76470588235293,2.1052631578947367
462,19,36,36.473684210526315,195.76470588235293,2.1052631578947367
463,19,37,36.05263157894737,195.76470588235293,2.1052631578947367
464,19,36,36.1578947368421,195.76470588235293,2.1052631578947367
465,19,36,36.21052631578947,195.76470588235293,2.1052631578947367
466,19,36,36.36842105263158,195.76470588235293,2.1052631578947367
467,18,37,37.94444444444444,187.5,2.2222222222222223
468,18,36,38.611111111111114,187.5,2.2222222222222223
469,18,35,39.333333333333336,187.5,2.2222222222222223
470,18,33,40.0,187.5,2.2222222222222223
471,17,34,41.411764705882355,184.31578947368422,2.176470588235294
472,17,34,41.588235294117645,184.31578947368422,2.176470588235294
473,17,35,40.705882352941174,184.31578947368422,2.176470588235294
474,17,35,41.0,184.31578947368422,2.176470588235294
475,17,37,40.0,184.31578947368422,2.176470588235294
476,17,36,40.76470588235294,184.31578947368422,2.176470588235294
477,17,36,40.411764705882355,184.31578947368422,2.176470588235294
478,17,36,40.0,184.31578947368422,2.176470588235294
479,17,38,39.0,184.31578947368422,2.176470588235294
480,18,39,36.44444444444444,184.31578947368422,2.1666666666666665
481,18,41,35.44444444444444,184.31578947368422,2.1666666666666665
482,18,40,35.55555555555556,184.31578947368422,2.1666666666666665
483,18,41,35.166666666666664,184.31578947368422,2.1666666666666665
484,18,39,35.833333333333336,184.31578947368422,2.1666666666666665
485,18,36,37.05555555555556,184.31578947368422,2.1666666666666665
486,18,35,37.166666666666664,184.31578947368422,2.1666666666666665
487,18,35,36.77777777777778,184.31578947368422,2.1666666666666665
488,18,35,36.388888888888886,184.31578947368422,2.1666666666666665
489,18,35,35.94444444444444,184.31578947368422,2.1666666666666665
490,18,35,36.05555555555556,184.31578947368422,2.1666666666666665
491,18,36,35.666666666666664,184.31578947368422,2.1666666666666665
